order_id,customer_name,email,product_id,quantity,unit_price,order_date,payment_method
ORD-001,Alice Johnson,alice@example.com,PROD-101,2,29.99,2025-01-15,credit_card
ORD-002,Bob Smith,bob@example.com,PROD-102,1,49.99,2025-01-15,debit_card
ORD-003,Carol White,carol@example.com,PROD-103,3,15.50,2025-01-16,credit_card
ORD-004,David Brown,,PROD-104,1,99.00,2025-01-16,paypal
ORD-005,Eve Davis,eve@example.com,PROD-101,5,29.99,2025-01-17,credit_card
ORD-006,Frank Miller,frank@example.com,PROD-105,2,-10.00,2025-01-17,debit_card
ORD-007,Grace Lee,grace@example.com,PROD-102,1,49.99,2025-01-18,credit_card
ORD-008,Henry Wilson,,PROD-106,4,12.75,2025-01-18,paypal
ORD-009,Ivy Chen,ivy@example.com,PROD-103,2,15.50,2025-01-19,credit_card
ORD-010,Jack Taylor,jack@example.com,PROD-107,1,199.99,2025-01-19,debit_card
ORD-011,Karen Martinez,karen@example.com,PROD-101,three,29.99,2025-01-20,credit_card
ORD-012,Leo Anderson,leo@example.com,PROD-108,2,0.00,2025-01-20,paypal
ORD-013,Mia Thomas,mia@example.com,PROD-104,1,99.00,2025-01-21,credit_card
ORD-014,Nathan Jackson,,PROD-109,1,75.00,2025-01-21,debit_card
ORD-015,Olivia Harris,olivia@example.com,PROD-102,2,49.99,15/01/2025,credit_card
ORD-016,Paul Clark,paul@example.com,PROD-110,1,350.00,2025-01-22,paypal
ORD-017,Quinn Lewis,quinn@example.com,PROD-103,10,15.50,2025-01-22,credit_card
ORD-018,Rachel Robinson,rachel@example.com,PROD-101,1,29.99,2025-01-23,debit_card
ORD-019,Sam Walker,sam@example.com,PROD-111,3,45.00,Jan 23 2025,credit_card
ORD-020,Tina Young,tina@example.com,PROD-105,2,24.99,2025-01-24,paypal
ORD-021,Uma King,uma@example.com,PROD-102,1,49.99,2025-01-24,credit_card
ORD-022,Victor Wright,victor@example.com,PROD-112,5,8.99,2025-01-25,debit_card
ORD-023,Wendy Scott,,PROD-106,2,12.75,2025-01-25,credit_card
ORD-024,Xander Green,xander@example.com,PROD-101,1,29.99,2025-01-26,paypal
ORD-025,Yara Adams,yara@example.com,PROD-113,-2,55.00,2025-01-26,credit_card
ORD-026,Zach Baker,zach@example.com,PROD-104,1,99.00,2025-01-27,debit_card
ORD-027,Alice Johnson,alice@example.com,PROD-101,2,29.99,2025-01-15,credit_card
ORD-028,Bob Carter,bob_c@example.com,PROD-114,1,,2025-01-27,paypal
ORD-029,Chloe Diaz,,PROD-107,3,199.99,2025-01-28,credit_card
ORD-030,Derek Evans,derek@example.com,PROD-102,1,49.99,2025-01-28,debit_card
ORD-031,Elena Foster,elena@example.com,PROD-115,2,67.50,2025-01-29,credit_card
ORD-032,Felix Grant,felix@example.com,PROD-103,abc,15.50,2025-01-29,paypal
ORD-033,Gina Hall,gina@example.com,PROD-108,1,42.00,2025-01-30,credit_card
ORD-034,Hugo Irving,hugo@example.com,PROD-101,50,29.99,2025-01-30,debit_card
ORD-035,Iris James,iris@example.com,PROD-116,1,1250.00,2025-01-31,credit_card
ORD-036,Jake Kim,jake@example.com,PROD-104,2,99.00,not_a_date,paypal
ORD-037,Kara Long,kara@example.com,PROD-117,1,89.99,2025-02-01,credit_card
ORD-038,Liam Moore,liam@example.com,PROD-102,3,49.99,2025-02-01,debit_card
ORD-039,Nina Owens,nina@example.com,PROD-105,1,24.99,2025-02-02,paypal
ORD-040,Oscar Perez,oscar@example.com,PROD-118,2,-5.50,2025-02-02,credit_card
ORD-041,Piper Quinn,piper@example.com,PROD-101,1,29.99,2025-02-03,debit_card
ORD-042,Reed Stone,reed@example.com,PROD-119,4,33.00,2025-02-03,credit_card
ORD-043,Sara Turner,,PROD-120,1,78.50,2025-02-04,paypal
ORD-044,Tom Vance,tom@example.com,PROD-103,2,15.50,02-04-2025,credit_card
ORD-045,Ursula West,ursula@example.com,PROD-104,1,99.00,2025-02-05,debit_card
ORD-046,Vince Xu,vince@example.com,PROD-121,100,5.99,2025-02-05,paypal
ORD-047,Willa York,willa@example.com,PROD-102,2,49.99,2025-02-06,credit_card
ORD-048,Xena Zimmerman,xena@example.com,PROD-122,1,450.00,2025-02-06,credit_card
ORD-001,Alice Johnson,alice@example.com,PROD-101,2,29.99,2025-01-15,credit_card
ORD-050,Yuri Brooks,yuri@example.com,PROD-105,3,24.99,2025-02-07,debit_card
